# MAC address prefix -> vendor name, used by lsnet.
#
# Derived from Wireshark's "manuf" database
# (https://www.wireshark.org/download/automated/data/manuf), which Wireshark
# generates from the IEEE OUI registries (https://standards-oui.ieee.org/).
# Vendor names were shortened by scripts/update-oui.py.
#
# Wireshark: Copyright 1998 Gerald Combs <gerald@wireshark.org> and contributors.
# SPDX-License-Identifier: GPL-2.0-or-later
#
# Format: one assignment per line, HEXPREFIX, a tab, then the vendor name.
# HEXPREFIX is 6, 7 or 9 hex digits (24, 28 or 36-bit assignments).
000000	Officially Xerox but 0:0
001D07	Sang Fei Consumer
001D08	Jiangsu Yinhe
001D09	Dell
001D0A	Davis Instruments
001D0B	Power Standards Lab
001D0C	MobileCompia
001D0D	Sony Interactive Enterta
001D0E	Agapha
001D0F	TP-Link
001D10	LightHaus Logic
001D11	Analogue & Micro
001D12	Rohm
001D13	NextGTV
001D14	Speradtone Information
001D15	Dolphin
001D16	Sfr
001D17	Digital Sky
001D18	Power Innovation
001D19	Arcadyan
001D1A	OvisLink
001D1B	Sangean
001D1C	Gennet
001D1D	Inter-M
001D1E	Kyushu Ten
001D1F	Siauliu Tauro Televizori
001D20	Comtrend
001D21	Alcad SL
001D22	Foss Analytical A/S
001D23	Sensus
001D24	Aclara Power-Line
001D25	Samsung
001D26	Rockridgesound
001D27	Nac-Intercom
001D28	Sony
001D29	Doro
001D2A	Bul-Tech
001D2B	Wuhan Pont
001D2C	Wavetrend Technologies (
001D2D	Pylone
001D2E	Ruckus Wireless
001D2F	QuantumVision
001D30	YX Wireless
001D31	Highpro International R&
001D32	Longkay Communication &
001D33	Maverick
001D34	SYRIS
001D35	Viconics
001D36	Electronics Corporation
001D37	Thales-Panda Transportat
001D38	Seagate
001D39	Moohadigital
001D3A	mh acoustics
001D3B	Nokia Danmark A/S
001D3C	Muscle
001D3D	Avidyne
001D3E	Saka Techno Science
001D3F	Mitron
001D40	Intel
001D41	Hardy Instruments
001D42	Nortel
001D43	G-link Digital
001D44	Krohne
001D45	Cisco
001D46	Cisco
001D47	Covote GmbH &
001D48	Sensor-Technik Wiedemann
001D49	Innovation Wireless
001D4A	Carestream Health
001D4B	Grid Connect
001D4C	Alcatel-Lucent
001D4D	Adaptive Recognition Hun
001D4E	TCM Mobile
001D4F	Apple
001D50	Spinetix
001D51	Babcock & Wilcox Power G
001D52	Defzone
001D53	S&O Electronics (Malaysi
001D54	Sunnic Technology & Merc
001D55	ZANTAZ
001D56	Kramer
001D57	CAETEC Messtechnik
001D58	CQ
001D59	Mitra Energy & Infrastru
001D5A	2Wire
001D5B	Tecvan Informatica Ltda
001D5C	Tom Communication
001D5D	Control Dynamics
001D5E	Coming Media
001D5F	OverSpeed SARL
001D60	ASUSTek COMPUTER
001D61	BIJ
001D62	InPhase
001D63	Miele & Cie
001D64	Adam Communications Syst
001D65	Microwave Radio
001D66	HYUNDAI HT
001D67	Amec
001D68	Thomson Telecom Belgium
001D69	Knorr-Bremse IT-Services
001D6A	Alpha
001D6B	Commscope
001D6C	ClariPhy
001D6D	Confidant
001D6E	Nokia Danmark A/S
001D6F	Chainzone
001D70	Cisco
001D71	Cisco
001D72	Wistron
001D73	Buffalo.Inc
001D74	Tianjin China-Silicon Mi
001D75	Radioscape
001D76	Eyeheight
001D77	NSGate
001D78	Invengo Information
001D79	Signamax
001D7A	Wideband Semiconductor
001D7B	Ice Energy
001D7C	ABE Elettronica S.p.A
001D7D	Giga-Byte
001D7E	Cisco-Linksys
001D7F	Tekron
001D80	Huahuan Eletronics
001D81	Gateway
001D82	GN Netcom A/S
001D83	Emitech
001D84	Gateway
001D85	Call Direct Cellular Sol
001D86	Shinwa Industries(China)
001D87	VigTech Labs Sdn Bhd
001D88	Clearwire
001D89	VaultStor
001D8A	TechTrex
001D8B	ADB Broadband Italia
001D8C	La Crosse
001D8D	Fluke Process Instrument
001D8E	Alereon
001D8F	PureWave
001D90	EMCO Flow
001D91	Digitize
001D92	Micro-Star Int'L
001D93	Modacom
001D94	Climax
001D95	Flash
001D96	WatchGuard Video
001D97	Alertus
001D98	Nokia Danmark A/S
001D99	Cyan Optic
001D9A	Godex
001D9B	Hokuyo Automatic
001D9C	Rockwell Automation
001D9D	Artjoy
001D9E	Axion
001D9F	MATT R.P.Traczynscy Sp.J
001DA0	Heng Yu Electronic Manuf
001DA1	Cisco
001DA2	Cisco
001DA3	SabiOso
001DA4	System
001DA5	WB
001DA6	Media Numerics
001DA7	Seamless Internet
001DA8	Takahata
001DA9	Castles
001DAA	DrayTek
001DAB	SwissQual License
001DAC	Gigamon
001DAD	Sinotech Engineering Con
001DAE	Chang Tseng
001DAF	Nortel
001DB0	FuJian HengTong Informat
001DB1	Crescendo
001DB2	Hokkaido Electric Engine
001DB3	HPN Supply Chain
001DB4	Kumho Eng
001DB5	Juniper
001DB6	BestComm
001DB7	Tendril
001DB8	Intoto
001DB9	Wellspring Wireless
001DBA	Sony
001DBB	Dynamic System
001DBC	Nintendo
001DBD	Versamed
001DBE	Commscope
001DBF	Radiient
001DC0	Enphase Energy
001DC1	Audinate Pty L
001DC2	Xortec
001DC3	RIKOR TV
001DC4	AIOI
001DC5	Jiaxun Feihong Electrici
001DC6	SNR
001DC7	L-3 Communications Genev
001DC8	Navionics Research Inc.
001DC9	GainSpan
001DCA	PAV
001DCB	Exéns Development
001DCC	Ayon Cyber Security
001DCD	Commscope
001DCE	Commscope
001DCF	Commscope
001DD0	Commscope
001DD1	Commscope
001DD2	Commscope
001DD3	Commscope
001DD4	Commscope
001DD5	Commscope
001DD6	Commscope
001DD7	Algolith
001DD8	Microsoft
001DD9	Foxconn
001DDA	Mikroelektronika spol. s
001DDB	C-BEL
001DDC	DeChangLong Tech&Info
001DDD	Dat H.K
001DDE	Broadcast&Television
001DDF	Sunitec Enterprise
001DE0	Intel
001DE1	Intel
001DE2	Radionor
001DE3	Intuicom
001DE4	Visioneered Image
001DE5	Cisco
001DE6	Cisco
001DE7	Marine Sonic
001DE8	Nikko Denki Tsushin Corp
001DE9	Nokia Danmark A/S
001DEA	Commtest Instruments
001DEB	DINEC
001DEC	Marusys
001DED	Grid Net
001DEE	Nextvision Sistemas Digi
001DEF	Trimm
001DF0	Vidient
001DF1	Intego
001DF2	Netflix
001DF3	SBS Science &
001DF4	Magellan
001DF5	Sunshine
001DF6	Samsung
001DF7	R. STAHL Schaltgeräte
001DF8	Webpro Vision
001DF9	Cybiotronics (Far East)
001DFA	Fujian LANDI Commercial
001DFB	NETCLEUS
001DFC	Ksic
001DFD	Nokia Danmark A/S
001DFE	Palm
001DFF	Network Critical Solutio
001E00	Shantou Institute of Ult
001E01	Renesas Technology Sales
001E02	Sougou Keikaku Kougyou
001E03	LiComm
001E04	Hanson Research
001E05	Xseed Technologies & Com
001E06	Wibrain
001E07	Winy
001E08	Centec
001E09	ZEFATEK
001E0A	Syba
001E0B	Hewlett Packard
001E0C	Sherwood Information Par
001E0D	Micran
001E0E	Maxi View
001E0F	Briot
001E10	Huawei
001E11	Elelux
001E12	Ecolab
001E13	Cisco
001E14	Cisco
001E15	Beech Hill
001E16	Keytronix
001E17	Stn
001E18	Radio Activity
001E19	Gtri
001E1A	Best Source Taiwan
001E1B	Digital Stream
001E1C	SWS Australia
001E1D	East Coast Datacom
001E1E	Honeywell Life Safety
001E1F	Nortel
001E20	Intertain
001E21	Qisda
001E22	ARVOO Imaging Products
001E23	Electronic Educational D
001E24	Bell
001E25	Intek Digital
001E26	Digifriends
001E27	SBN
001E28	Lumexis
001E29	Hypertherm
001E2A	Netgear
001E2B	Radio Systems Design
001E2C	CyVerse
001E2D	Stim
001E2E	SIRTI S.p.A
001E2F	DiMoto
001E30	Shireen
001E31	infomark
001E32	Zensys
001E33	Inventec
001E34	CryptoMetrics
001E35	Nintendo
001E36	Ipte
001E37	Universal Global Scienti
001E38	Bluecard Software
001E39	Comsys Communication
001E3A	Nokia Danmark A/S
001E3B	Nokia Danmark A/S
001E3C	Lyngbox Media
001E3D	Alpsalpine Co .Ltd
001E3E	KMW
001E3F	TrellisWare
001E40	DareGlobal
001E41	Microwave Communication
001E42	Teltonika
001E43	Aisin
001E44	Santec
001E45	Sony
001E46	Commscope
001E47	PT. Hariff Daya Tunggal
001E48	Wi-Links
001E49	Cisco
001E4A	Cisco
001E4B	City Theatrical
001E4C	Foxconn
001E4D	Welkin Sciences
001E4E	DAKO EDV-Ingenieur- und
001E4F	Dell
001E50	Battistoni Research
001E51	Converter Industry
001E52	Apple
001E53	Further
001E54	TOYO ELECTRIC
001E55	COWON
001E56	Bally Wulff Entertainmen
001E57	ALCOMA spol. s r.o
001E58	D-Link
001E59	Silicon Turnkey Express
001E5A	Commscope
001E5B	Unitron
001E5C	RB GeneralEkonomik
001E5D	Holosys d.o.o
001E5E	COmputime
001E5F	KwikByte
001E60	Digital Lighting
001E61	ITEC
001E62	Siemon
001E63	Vibro-Meter
001E64	Intel
001E65	Intel
001E66	RESOL Elektronische Rege
001E67	Intel
001E68	Quanta Computer
001E69	Thomson
001E6A	Bluexon
001E6B	Cisco SPVTG
001E6C	Opaque
001E6D	IT R&D Center
001E6E	First Mile
001E6F	Magna-Power
001E70	Chelton
001E71	MIrcom Group of Companie
001E72	Pcs
001E73	zte
001E74	Sagemcom Broadband
001E75	LG Electronics (Mobile C
001E76	Thermo Fisher Scientific
001E77	Air2App
001E78	Owitek Technology Ltd
001E79	Cisco
001E7A	Cisco
001E7B	R.I.CO. S.r.l
001E7C	Taiwick
001E7D	Samsung
001E7E	Nortel
001E7F	CBM of
001E80	Icotera A/S
001E81	CNB
001E82	SanDisk
001E83	LAN/MAN Standards Associ
001E84	Pika
001E85	Lagotek
001E86	MEL
001E87	Realease
001E88	Andor System Support
001E89	CRFS
001E8A	eCopy
001E8B	Infra Access Korea
001E8C	ASUSTek COMPUTER
001E8D	Commscope
001E8E	Hunkeler
001E8F	Canon
001E90	Elitegroup Computer
001E91	KIMIN
001E92	Jeulin
001E93	CiriTech
001E94	Supercom
001E95	Sigmalink
001E96	Sepura
001E97	Medium Link System Techn
001E98	GreenLine
001E99	Vantanol
001E9A	HAMILTON Bonaduz
001E9B	San-Eisha
001E9C	Fidustron
001E9D	Recall
001E9E	ddm hopt + schuler Gmbh
001E9F	Visioneering
001EA0	XLN-t
001EA1	Brunata a/s
001EA2	Symx
001EA3	Nokia Danmark A/S
001EA4	Nokia Danmark A/S
001EA5	ROBOTOUS
001EA6	Best IT World (India) Pv
001EA7	Actiontec
001EA8	Datang Mobile Communicat
001EA9	Nintendo
001EAA	E-Senza
001EAB	TeleWell
001EAC	Armadeus
001EAD	Wingtech
001EAE	AUMOVIO
001EAF	Ophir Optronics
001EB0	ImesD Electronica S.L
001EB1	Cryptsoft
001EB2	LG Innotek
001EB3	Primex Wireless
001EB4	Unifat
001EB5	Ever Sparkle
001EB6	TAG Heuer
001EB7	TBTech
001EB8	Aloys
001EB9	Sing Fai
001EBA	High Density Devices
001EBB	Bluelight
001EBC	Wintech Automation
001EBD	Cisco
001EBE	Cisco
001EBF	Haas Automation
001EC0	Microchip
001EC1	3Com Europe
001EC2	Apple
001EC3	Kozio
001EC4	Celio
001EC5	Middle Atlantic Products
001EC6	Leviton Manufacturing
001EC7	2Wire
001EC8	Rapid Mobile (Pty)
001EC9	Dell
001ECA	Nortel
001ECB	"RPC "Energoautomatika"
001ECC	Cdvi
001ECD	KYLAND
001ECE	BISA Technologies (Hong
001ECF	Philips Electronics Uk
001ED0	Ingespace
001ED1	TKH Security
001ED2	Ray Shine Video
001ED3	Dot Technology Int'l
001ED4	Doble Engineering
001ED5	Tekon-Automatics
001ED6	Alentec & Orion
001ED7	H-Stream Wireless
001ED8	Digital United
001ED9	Mitsubishi Precision
001EDA	Wesemann Elektrotechniek
001EDB	Giken Trastem
001EDC	Sony
001EDD	Wasko
001EDE	Byd
001EDF	Master Industrialization
001EE0	Urmet
001EE1	Samsung
001EE2	Samsung
001EE3	T&W Electronics (ShenZhe
001EE4	ACS Solutions France
001EE5	Cisco-Linksys
001EE6	Advanced Video Info-Tech
001EE7	Epic
001EE8	Mytek
001EE9	Stoneridge
001EEA	Sensor Switch
001EEB	Talk-A-Phone
001EEC	Compal Information (Kuns
001EED	Adventiq
001EEE	ETL
001EEF	Cantronic
001EF0	Gigafin
001EF1	Servimat
001EF2	Micro Motion
001EF3	From2
001EF4	L-3 Communications Displ
001EF5	Hitek Automated
001EF6	Cisco
001EF7	Cisco
001EF8	Emfinity
001EF9	Pascom Kommunikations sy
001EFA	PROTEI
001EFB	Trio Motion
001EFC	Jsc "Massa-K"
001EFD	Microbit 2.0
001EFE	LEVEL s.r.o
001EFF	Mueller-Elektronik GmbH
001F00	Nokia Danmark A/S
001F01	Nokia Danmark A/S
001F02	Pixelmetrix Corporation
001F03	Num
001F04	Granch
001F05	iTAS
001F06	Integrated Dispatch Solu
001F07	AZTEQ Mobile
001F08	Risco
001F09	Jastec
001F0A	Nortel
001F0B	Federal State Unitary En
001F0C	Intelligent Digital Serv
001F0D	L3 Communications - Tele
001F0E	Japan Kyastem
001F0F	Select Engineered
001F10	Toledo Do Brasil Industr
001F11	Openmoko
001F12	Juniper
001F13	S.& A.S
001F14	NexG
001F15	Bioscrypt
001F16	Wistron
001F17	IDX
001F18	Hakusan.Mfg.Co .Ltd
001F19	Ben-Ri Electronica
001F1A	Prominvest
001F1B	RoyalTek
001F1C	KOBISHI ELECTRIC
001F1D	Atlas Material Testing
001F1E	Astec
001F1F	Edimax
001F20	Logitech Europe
001F21	Inner Mongolia Yin An Sc
001F22	Source Photonics
001F23	DGS Diagnostics A/S
001F24	Digitview
001F25	MBS
001F26	Cisco
001F27	Cisco
001F28	HPN Supply Chain
001F29	Hewlett Packard
001F2A	Accm
001F2B	Orange Logic
001F2C	Starbridge
001F2D	Electro-Optical Imaging
001F2E	Triangle Research Int'l
001F2F	Berker GmbH &
001F30	Travelping
001F31	Radiocomp
001F32	Nintendo
001F33	Netgear
001F34	Lung Hwa
001F35	Air802
001F36	Bellwin Information Co.
001F37	Genesis I&C
001F38	Positron
001F39	Construcciones y Auxilia
001F3A	Foxconn
001F3B	Intel
001F3C	Intel
001F3D	Qbit
001F3E	RP-Technik e.K
001F3F	AVM
001F40	Speakercraft
001F41	Ruckus Wireless
001F42	Etherstack
001F43	Entes Elektronik
001F44	GE Transportation
001F45	Enterasys
001F46	Nortel
001F47	MCS Logic
001F48	Mojix
001F49	Manhattan TV
001F4A	Albentia
001F4B	Lineage Power
001F4C	Roseman Engineering
001F4D	Segnetics
001F4E	ConMed Linvatec
001F4F	Thinkware
001F50	Swissdis
001F51	HD
001F52	UVT Unternehmensberatung
001F53	GEMAC Chemnitz
001F54	Lorex
001F55	Honeywell Security
001F56	Digital Forecast
001F57	Phonik Innovation
001F58	EMH Energiemesstechnik
001F59	Kronback Tracers
001F5A	Beckwith Electric
001F5B	Apple
001F5C	Nokia Danmark A/S
001F5D	Nokia Danmark A/S
001F5E	Dyna
001F5F	Blatand
001F60	Compass
001F61	Talent Communication
001F62	JSC "Stilsoft"
001F63	JSC Goodwin-Europa
001F64	Autelan
001F65	Korea Electric Terminal
001F66	Planar
001F67	Hitachi
001F68	Martinsson Elektronik
001F69	Pingood
001F6A	PacketFlux
001F6B	LG Electronics (Mobile C
001F6C	Cisco
001F6D	Cisco
001F6E	Vtech Engineering
001F6F	Fujian Sunnada Communica
001F70	Botik
001F71	xG
001F72	QingDao Hiphone Technolo
001F73	Teraview
001F74	Eigen Development
001F75	GiBahn Media
001F76	AirLogic
001F77	Heol Design
001F78	Blue Fox Porini Textile
001F79	Lodam Electronics A/S
001F7A	WiWide
001F7B	TechNexion
001F7C	Witelcom
001F7D	Embedded Wireless
001F7E	Commscope
001F7F	Phabrix
001F80	Lucas Holding
001F81	Accel Semiconductor
001F82	Cal-Comp Electronics &
001F83	Teleplan Technology Serv
001F84	Gigle Semiconductor
001F85	Apriva ISS
001F86	digEcor
001F87	Skydigital
001F88	FMS Force Measuring
001F89	Signalion
001F8A	Ellion Digital
001F8B	Cache IQ
001F8C	CCS
001F8D	Ingenieurbuero Stark Gmb
001F8E	Metris
001F8F	Bellmann Digital Source
001F90	Actiontec
001F91	DBS Lodging
001F92	Motorola Solutions
001F93	Xiotech
001F94	Lascar
001F95	Sagemcom Broadband
001F96	Aprotech Co.Ltd
001F97	BERTANA
001F98	Daiichi-Dentsu
001F99	SERONICS co.ltd
001F9A	Nortel
001F9B	Posbro
001F9C	Havis
001F9D	Cisco
001F9E	Cisco
001F9F	Thomson Telecom Belgium
001FA0	A10
001FA1	Gtran
001FA2	Datron World
001FA3	T&W Electronics(Shenzhen
001FA4	Gongjin Electronics Co.
001FA5	Blue-White Industries
001FA6	Stilo
001FA7	Sony Interactive Enterta
001FA8	Smart Energy Instruments
001FA9	Atlanta DTH
001FAA	Taseon
001FAB	I.S High Tech.Inc
001FAC	Goodmill
001FAD	Brown Innovations
001FAE	Blick South Africa (Pty)
001FAF	NextIO
001FB0	TimeIPS
001FB1	Cybertech
001FB2	Sontheim Industrie Elekt
001FB3	2Wire
001FB4	SmartShare
001FB5	I/O Interconnect
001FB6	Chi Lin
001FB7	WiMate
001FB8	Universal Remote Control
001FB9	Paltronics
001FBA	Boyoung
001FBB	Xenatech
001FBC	EVGA
001FBD	Kyocera Wireless
001FBE	Mopnet
001FBF	Fulhua Microelectronics
001FC0	Control Express Finland
001FC1	Hanlong
001FC2	Jow Tong
001FC3	SmartSynch
001FC4	Commscope
001FC5	Nintendo
001FC6	ASUSTek COMPUTER
001FC7	Casio Hitachi Mobile
001FC8	Up-Today
001FC9	Cisco
001FCA	Cisco
001FCB	NIW Solutions
001FCC	Samsung
001FCD	Samsung
001FCE	Qtech
001FCF	MSI
001FD0	Giga-Byte
001FD1	Optex
001FD2	Commtech Technology Maca
001FD3	RIVA
001FD4	4Ipnet
001FD5	MICRORISC s.r.o
001FD6	Allywll
001FD7	Telerad
001FD8	A-Trust Computer
001FD9	RSD
001FDA	Nortel
001FDB	Network Supply Corp
001FDC	Mobile Safe Track
001FDD	Gdi
001FDE	Nokia Danmark A/S
001FDF	Nokia Danmark A/S
001FE0	EdgeVelocity
001FE1	Foxconn
001FE2	Foxconn
001FE3	LG Electronics (Mobile C
001FE4	Sony
001FE5	In-Circuit
001FE6	Alphion
001FE7	Simet
001FE8	KURUSUGAWA Electronics I
001FE9	Printrex
001FEA	Applied Media
001FEB	Trio Datacom
001FEC	Synapse Électronique
001FED	Tecan
001FEE	ubisys
001FEF	Shinsei Industries
001FF0	Audio Partnership
001FF1	Paradox Hellas
001FF2	VIA
001FF3	Apple
001FF4	Power Monitors
001FF5	Kongsberg Defence & Aero
001FF6	PS Audio
001FF7	Nakajima All Precision
001FF8	Siemens AG Sector Indust
001FF9	Advanced Knowledge Assoc
001FFA	Coretree
001FFB	Green Packet Bhd
001FFC	Riccius+Sohn
001FFD	Indigo Mobile
001FFE	HPN Supply Chain
001FFF	Respironics
002000	Lexmark
002001	Dsp Solutions
002002	Seritech Enterprise
002003	Pixel Power
002004	Yamatake-Honeywell
002005	Simple
002006	Garrett
002007	Sfa
002008	Cable & Computer
002009	Packard Bell Elec
00200A	Source-Comm
00200B	Octagon
00200C	Adastra
00200D	Carl Zeiss
00200E	NSSLGlobal
00200F	EBRAINS
002010	Jeol System
002011	Canopus
002012	Camtronics Medical
002013	Diversified
002014	Global View
002015	Actis Computer
002016	Showa Electric Wire & Ca
002017	Orbotech
002018	Cis
002019	Ohler
00201A	MRV
00201B	Northern Telecom/Network
00201C	Excel
00201D	Katana Products
00201E	Netquest
00201F	Best Power
002020	Megatron Computer Indust
002021	Algorithms Software Pvt
002022	NMS
002023	T.C
002024	Pacific Communication Sc
002025	Control
002026	Amkly
002027	Ming Fortune Industry
002028	West Egg
002029	Teleprocessing Products
00202A	N.V. Dzine
00202B	Advanced Telecommunicati
00202C	Welltronix
00202D	Taiyo
00202E	Daystar Digital
00202F	Zeta
002030	Analog & Digital
002031	Tattile
002032	Alcatel Taisel
002033	Synapse
002034	Rotec Industrieautomatio
002035	IBM
002036	Bmc Software
002037	Seagate
002038	Vme Microsystems
002039	Scinets
00203A	Digital Bi0Metrics
00203B	Wisdm
00203C	Eurotime
00203D	Honeywell Environmental
00203E	LogiCan
00203F	Juki
002040	Commscope
002041	Data Net
002042	Datametrics
002043	Neuron
002044	Genitech
002045	ION
002046	Ciprico
002047	Steinbrecher
002048	Marconi
002049	Comtron
00204A	Pronet
00204B	Autocomputer
00204C	Mitron Computer Pte
00204D	Inovis
00204E	Network Security
00204F	Deutsche Aerospace
002050	Korea Computer
002051	Verilink
002052	Ragula
002053	Huntsville Microsystems
002054	Sycamore
002055	Altech
002056	Neoproducts
002057	TITZE DATENTECHNIK
002058	Allied Signal
002059	Miro Computer Products
00205A	Computer Identics
00205B	Kentrox
00205C	InterNet Systems of Flor
00205D	Nanomatic
00205E	Castle Rock
00205F	Gammadata Computer
002060	ALCATEL ITALIA S.p.A
002061	GarrettCom
002062	Scorpion Logic
002063	Wipro Infotech
002064	Protec Microsystems
002065	Supernet Networking
002066	General Magic
002067	Private
002068	Isdyne
002069	Isdn
00206A	Osaka Computer
00206B	Konica Minolta
00206C	Evergreen
00206D	Data Race
00206E	Xact
00206F	Flowpoint
002070	Hynet
002071	Ibr
002072	Worklink Innovations
002073	Fusion
002074	Sungwoon
002075	Motorola Communication I
002076	Reudo
002077	Kardios
002078	Runtop
002079	Mikron
00207A	WiSE
00207B	Intel
00207C	Autec
00207D	Advanced Computer Applic
00207E	Finecom
00207F	Kyoei Sangyo
002080	Synergy (Uk)
002081	Titan
002082	Oneac
002083	Presticom
002084	Oce Printing
002085	Eaton
002086	Microtech
002087	Memotec
002088	Global Village Communica
002089	T3Plus Networking
00208A	Sonix
00208B	Lapis
00208C	Galaxy
00208D	Cmd
00208E	Chevin Software Eng
00208F	ECI Telecom
002090	Advanced Compression
002091	J125 National Security A
002092	Chess Engineering
002093	Landings
002094	Cubix
002095	Riva
002096	Invensys
002097	Applied Signal
002098	Hectronic
002099	Bon Electric
00209A	The 3Do
00209B	Ersat
00209C	Primary Access
00209D	Lippert Automationstechn
00209E	Brown'S Operating System
00209F	Mercury Computer
0020A0	Oa Laboratory
0020A1	Dovatron
0020A2	Galcom Networking
0020A3	Harmonic
0020A4	Multipoint
0020A5	Api Engineering
0020A6	Proxim Wireless
0020A7	Pairgain
0020A8	Sast
0020A9	White Horse
0020AA	Ericsson Television
0020AB	Micro Industries
0020AC	Interflex Datensysteme
0020AD	Linq
0020AE	Ornet Data Communication
0020AF	3Com
0020B0	Gateway Devices
0020B1	Comtech Research
0020B2	GKD Gesellschaft Fur Kom
0020B3	Tattile
0020B4	Terma Elektronik
0020B5	Yaskawa Electric
0020B6	Agile
0020B7	Namaqua Computerware
0020B8	Prime Option
0020B9	Metricom
0020BA	Center For High Performa
0020BB	Zax
0020BC	Long Reach
0020BD	Niobrara R & D
0020BE	Lan Access
0020BF	Aehr Test
0020C0	Pulse
0020C1	SAXA
0020C2	Texas Memory
0020C3	Counter Solutions
0020C4	Inet
0020C5	Eagle
0020C6	Nectec
0020C7	AKAI Professional M.I
0020C8	Larscom
0020C9	Victron
0020CA	Digital Ocean
0020CB	Pretec
0020CC	Digital Services
0020CD	Hybrid
0020CE	Logical Design
0020CF	Test & Measurement
0020D0	Versalynx
0020D1	Microcomputer Systems (M
0020D2	Rad Data
0020D3	Ost (Ouest Standard Tele
0020D4	Cabletron
0020D5	Vipa
0020D6	Breezecom
0020D7	JAPAN MINICOMPUTER
0020D8	Nortel
0020D9	Panasonic Technologies I
0020DA	Alcatel-Lucent Enterpris
0020DB	Xnet
0020DC	Densitron Taiwan
0020DD	Cybertec
0020DE	Japan Digital Laborat'Y
0020DF	Kyosan Electric Mfg
0020E0	Actiontec
0020E1	Alamar
0020E2	Information Resource Eng
0020E3	Mcd Kencom
0020E4	Hsing Tech Enterprise
0020E5	Apex Data
0020E6	Lidkoping Machine Tools
0020E7	B&W Nuclear Service
0020E8	Datatrek
0020E9	Dantel
0020EA	Efficient
0020EB	Cincinnati Microwave
0020EC	Techware
0020ED	Giga-Byte
0020EE	Gtech
0020EF	Usc
0020F0	Universal Microelectroni
0020F1	Altos India
0020F2	Oracle
0020F3	Raynet
0020F4	Spectrix
0020F5	Pandatel
0020F6	Net Tek And Karlnet
0020F7	Cyberdata
0020F8	Carrera Computers
0020F9	Paralink
0020FA	Gde
0020FB	Octel
0020FC	Matrox Central Services
0020FD	Itv
0020FE	Topware Inc. / Grand Com
0020FF	Symmetrical
002100	Gemtek
002101	Aplicaciones Electronica
002102	UpdateLogic
002103	GHI
002104	Gigaset
002105	Alcatel-Lucent IPD
002106	RIM Testing Services
002107	Seowonintech
002108	Nokia Danmark A/S
002109	Nokia Danmark A/S
00210A	byd:sign
00210B	Gemini Traze Rfid Pvt
00210C	Cymtec
00210D	Samsin Innotec
00210E	Gilbarco
00210F	Cernium
002110	Clearbox
002111	Uniphone
002112	Wiscom System
002113	Padtec S/A
002114	Hylab
002115	PHYWE Systeme GmbH &
002116	Transcon Electronic Syst
002117	Tellord
002118	Athena
002119	Samsung Electro Mechanic
00211A	LInTech
00211B	Cisco
00211C	Cisco
00211D	Dataline
00211E	Commscope
00211F	Shinsung Deltatech
002120	Sequel
002121	VRmagic
002122	Chip-pro
002123	Aerosat Avionics
002124	Optos
002125	KUK JE TONG SHIN
002126	Torch Equipment
002127	TP-Link
002128	Oracle
002129	Cisco-Linksys
00212A	Audiovox
00212B	MSA Auer
00212C	SemIndia System Private
00212D	Scimolex
00212E	dresden-elektronik
00212F	Phoebe Micro
002130	Keico Hightech
002131	Blynke
002132	Masterclock
002133	Building B
002134	Brandywine
002135	Alcatel-Lucent
002136	Commscope
002137	Bay Controls
002138	Cepheid
002139	Escherlogic
00213A	Winchester
00213B	Berkshire Products
00213C	AliphCom
00213D	Cermetek Microelectronic
00213E	TomTom
00213F	A-Team
002140	EN
002141	Radlive
002142	Advanced Control Systems
002143	Commscope
002144	SS Telecoms
002145	Semptian
002146	Sanmina-SCI
002147	Nintendo
002148	Kaco Solar Korea
002149	China Daheng
00214A	Pixel Velocity
00214B	HAMP Science &
00214C	Samsung
00214D	Skytone Transmission Tec
00214E	GS Yuasa Power Supply
00214F	Alpsalpine Co .Ltd
002150	Eyeview
002151	Millinet
002152	General Satellite Resear
002153	SeaMicro
002154	D-TACQ Solutions
002155	Cisco
002156	Cisco
002157	National Datacast
002158	Style Flying
002159	Juniper
00215A	Hewlett Packard
00215B	SenseAnywhere
00215C	Intel
00215D	Intel
00215E	IBM
00215F	IHSE
002160	Hidea Solutions
002161	Yournet
002162	Nortel
002163	Askey Computer
002164	Special Design Bureau fo
002165	Presstek
002166	NovAtel
002167	HWA JIN T&I
002168	iVeia
002169	Prologix
00216A	Intel
00216B	Intel
00216C	Odva
00216D	Soltech
00216E	Function ATI (Huizhou) T
00216F	SymCom
002170	Dell
002171	Wesung TNC
002172	Seoultek Valley
002173	Ion Torrent
002174	AvaLAN Wireless
002175	Pacific Satellite
002176	YMax Telecom
002177	W. L. Gore & Associates
002178	Matuschek Messtechnik
002179	IOGEAR
00217A	Sejin Electron
00217B	Bastec
00217C	2Wire
00217D	Pyxis S.R.L
00217E	Telit Communication s.p.
00217F	Intraco Technology Pte
002180	Commscope
002181	Si2 Microsystems
002182	SandLinks
